timestamp_ms,intensity
38,0.00
48,0.00
58,0.00
68,0.00
78,0.00
88,0.00
98,0.00
108,0.00
118,0.00
128,0.00
138,0.00
148,0.00
158,0.00
168,0.00
178,0.00
188,0.00
198,0.00
208,0.00
218,0.00
228,0.00
238,0.00
248,0.00
258,0.00
268,0.00
278,0.00
288,0.00
298,0.00
308,0.00
318,0.00
328,0.00
338,0.00
348,0.00
358,0.00
368,0.00
378,0.00
388,0.00
398,0.00
408,0.00
418,0.00
428,0.00
438,0.00
448,0.00
458,0.00
468,0.00
478,0.00
488,0.00
498,0.00
508,0.00
518,0.00
528,0.00
538,0.00
548,0.00
558,0.00
568,0.00
578,0.00
588,0.00
598,0.00
608,0.00
618,0.00
628,0.00
638,0.00
648,0.00
658,0.00
668,0.00
678,0.00
688,0.00
698,0.00
708,0.00
718,0.00
728,0.00
738,0.00
748,0.00
758,0.00
768,0.00
778,0.00
788,0.00
798,0.00
808,0.00
818,0.00
828,0.00
838,0.00
848,0.00
858,0.00
868,0.00
878,0.00
888,0.00
898,0.00
908,0.00
918,0.00
928,0.00
938,0.00
948,0.00
958,0.00
968,0.00
978,0.00
988,0.00
998,0.00
1008,0.00
1018,0.00
1028,0.00
1038,0.00
1048,0.00
1058,0.00
1068,0.00
1078,0.00
1088,0.00
1098,0.00
1108,0.00
1118,0.00
1128,0.00
1138,0.00
1148,0.00
1158,0.00
1168,0.00
1178,0.00
1188,0.00
1198,0.00
1208,0.00
1218,0.00
1228,0.00
1238,0.00
1248,0.00
1258,0.00
1268,0.00
1278,0.00
1288,0.00
1298,0.00
1308,0.00
1318,0.00
1328,0.00
1338,0.00
1348,0.00
1358,0.00
1368,0.00
1378,0.00
1388,0.00
1398,0.00
1408,0.00
1418,0.00
1428,0.00
1438,0.00
1448,0.00
1458,0.00
1468,0.00
1478,0.00
1488,0.00
1498,0.00
1508,0.00
1518,0.00
1528,0.00
1538,0.00
1548,0.00
1558,0.00
1568,0.00
1578,0.00
1588,0.00
1598,0.00
1608,0.00
1618,0.00
1628,0.00
1638,0.00
1648,0.00
1658,0.00
1668,0.00
1678,0.00
1688,0.00
1698,0.00
1708,0.00
1718,0.00
1728,0.00
1738,0.00
1748,0.00
1758,0.00
1768,0.00
1778,0.00
1788,0.00
1798,0.00
1808,0.00
1818,0.00
1828,0.00
1838,0.00
1848,0.00
1858,0.00
1868,0.00
1878,0.00
1888,0.00
1898,0.00
1908,0.00
1918,0.00
1928,0.00
1938,0.00
1948,0.00
1958,0.00
1968,0.00
1978,0.00
1988,0.00
1998,0.00
2008,0.00
2018,0.00
2028,0.00
2038,0.00
2048,0.00
2058,0.00
2068,0.00
2078,0.00
2088,0.00
2098,0.00
2108,0.00
2118,0.00
2128,0.00
2138,0.00
2148,0.00
2158,0.00
2168,0.00
2178,0.00
2188,0.00
2198,0.00
2208,0.00
2218,0.00
2228,0.00
2238,0.00
2248,0.00
2258,0.00
2268,0.00
2278,0.00
2288,0.00
2298,0.00
2308,0.00
2318,0.00
2328,0.00
2338,0.00
2348,0.00
2358,0.00
2368,0.00
2378,0.00
2388,0.00
2398,0.00
2408,0.00
2418,0.00
2428,0.00
2438,0.00
2448,0.00
2458,0.00
2468,0.00
2478,0.00
2488,0.00
2498,0.00
2508,0.00
2518,0.00
2528,0.00
2538,0.00
2548,0.00
2558,0.00
2568,0.00
2578,0.00
2588,0.00
2598,0.00
2608,0.00
2618,0.00
2628,0.00
2638,0.00
2648,0.00
2658,0.00
2668,0.00
2678,0.00
2688,0.00
2698,0.00
2708,0.00
2718,0.00
2728,0.00
2738,0.00
2748,0.00
2758,0.00
2768,0.00
2778,0.00
2788,0.00
2798,0.00
2808,0.00
2818,0.00
2828,0.00
2838,0.00
2848,0.00
2858,0.00
2868,0.00
2878,0.00
2888,0.00
2898,0.00
2908,0.00
2918,0.00
2928,0.00
2938,0.00
2948,0.00
2958,0.00
2968,0.00
